perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[10,3,3,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,104,8921,339680,8174239,140059542,1815498776,18575270760,155225286524,1089989257606,6586020770216,34927199794141,165279622476642,707607710302054,2772855338025966,10043470011016105,33906455656652966,107452795975878355,321626112846958391,914083002577405603,2478128749343286508,6434548808881047969,16058635687884422380,38641691648164986142,89901696965879233508,202730827015246253187,444093475459322660009,946882533295228372009,1968629368352182550163,3997443891065897083297,7939448164462075973341,15444330541000553796193,29461104315442235329579,55171556396999003465239,101534257347984320912792,183801915641827514964452,327570126258616932858219,575205716721028547449663,995929386842814063508223
"[10,3,3,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,184,9437,273551,5618739,88243956,1093433099,10940361480,90458823953,632225716203,3813438867884,20217663779459,95710166744698,410045328245433,1608089862762144,5829231444497236,19694040245704601,62454997573849653,187054278181955634,531911500226856553,1442738669676049966,3747721310878303940,9356669813313550652,22522312704651288398,52414575895183228877,118226981785122164837,259042492471662774151,552435223290030922992,1148756851408565859046,2333011746327673546849,4634339229921536456609,9016189368314891479525,17200998799792071469694,32215549619248033768141,59293095529876695860613,107344264920461965063879,191322875928557490356113,335982385203087301234093,581767971975263903823161
"[10,3,3,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,125,4707,109961,1934224,27472764,321218161,3116810161,25384352635,176208443090,1060128707102,5617966311733,26610293253698,114118509506418,448053989669216,1626027133712107,5499447279112761,17457350756773038,52331318420204501,148927002337336817,404224026647301181,1050670239115077192,2624541943274191358,6320486633261516224,14715353498099290453,33204367992044253760,72776516813741732836,155248456062132570626,322913209368129197200,655955327023712878660,1303269420853639290296,2535999599725779486509,4838953561153196178954,9064165137431685404290,16684936362191515935803,30210079494885133637592,53850231694249902572326,94575894054240942917882,163777080754833512641331
"[10,3,2,2,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,5,1090,57338,1571992,28528549,380222446,3948514426,33285517382,235032875201,1425487218816,7579904612633,35939558642650,154096140261022,604541167848543,2191672456641712,7404374065234536,23478897602306680,70310295421029033,199905419460767610,542132346150733485,1408053008943942989,3514878755470244207,8459475170713237975,19684675801355418381,44395905213423625102,97263893757194955839,207405508912067401112,431249883355777884804,875755985287481140965,1739491807709765197187,3383987522686993359158,6455547406721923333652,12089850004053315259530,22250383847836256164073,40280244972619247666949,71789629001100843044828,126064958660313735597591,218279085339592255442826
"[10,3,2,2,2,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,34,3774,155380,3839802,66433968,865597740,8892395181,74579827241,525394590853,3183529583291,16923616428845,80247081209822,344144642570119,1350497708538723,4897429080613144,16550125454899855,52493127996317308,157233535915345178,447138239416119758,1212840063820773379,3150569043729650670,7865817667893013215,18933598218326251281,44062361544670346465,99386302761535016586,217758162734324947325,464384728850198427818,965645458519880938973,1961099305084654024259,3895504567076569456348,7578659473874642079231,14458285093892879083815,27078382226427309018641,49837431871856572630687,90224617636306200888070,160808160305125234629317,282392375907436038268315,488969562951285841591349
"[10,3,2,2,2,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,106,6317,194862,4115969,65503039,817688679,8223150108,68260475687,478602562369,2894353121276,15377744296779,72925508969327,312879512904427,1228483863042602,4457541885209133,15072040327663104,47829872475621504,143333283979177433,407781413163177567,1106502940595903325,2875297820052469275,7180683530325521137,17288938524808180183,40244187999316350861,90792659979166797781,198965358430342384770,424376228483975107765,882578388175029551159,1792631261730762870339,3561271173172875319298,6929127203823046686981,13220358272332962581512,24761986194216373072651,45577576296521498208549,82518309262351223949301,147082260028550368989327,258303128185772645187633,447281387504285361814799
"[10,3,2,2,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,157,6349,153703,2758571,39620997,466384064,4546301939,37154541022,258604020907,1559138339652,8276289649582,39254708836262,168527402329395,662259570645687,2405132587968392,8139317593054970,25850004445966478,77521408946880343,220689839155435760,599178918695799757,1557783894940446494,3892108491123639104,9374747103273290158,21829638309716052585,49263901546913066296,107987873327502186468,230385279274987350014,479238290902789998452,973584346269860729273,1934475214260360108317,3764474632788077199923,7183398052134563637896,13456342133284240934778,24770928325555017519200,44852450971353339107424,79953371415114433174752,140424559516778087444857,243179994364651686166632
"[10,3,2,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,115,3671,73697,1141076,14713472,161549846,1513010774,12107915468,83424017223,500811020687,2654995403977,12595175586606,54121019273763,212924395903616,774221551898489,2623166293159663,8340122156591711,25035855971533240,71335610421614237,193829772576229496,504279746501227704,1260707241049934141,3038243967404949398,7078089170242137009,15980148168081695796,35041982210392396069,74784557939648731060,155609612566054502418,316207661547615179392,628439966575966920448,1223196549762421477368,2334553154711346004260,4373958410719813790137,8052977839065732074655,14583461818216633580391,25999549253483649431618,45669019642010274688737,79095465721739706600493
"[10,3,1,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,37,1008,17411,237258,2756320,28060993,250617540,1953323442,13282628641,79286797990,419603463125,1991059660513,8565394143884,33749295816203,122912802771181,417086050143695,1327973172135920,3991500738601874,11386133035226738,30969143324819942,80643066172315023,201767046491020175,486584617111419054,1134268587175624413,2562204741800268366,5621185371915125585,12001456962543098941,24981637028954772355,50781035375670426885,100953683399496963290,196548752600796442425,375216232956492081373,703146608818385220816,1294827598898387689370,2345266372634502974183,4181829288909616909067,7346572068994075947196,12725403436326419892454
"[10,2,2,2,2,2,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,386,20906,555600,9849682,129807436,1343795743,11340834930,80319223123,488888585854,2608872413391,12410153191033,53363769200055,209876539644526,762505524247049,2580770752843914,8196262740625252,24577353200059645,69957641043107994,189906542596559656,493649170088270204,1233174891223669974,2969822976997710580,6914369761715506563,15601781836722197568,34195120359797206870,72944402200357962739,151719360989225219566,308190488535724666655,612306116492107789514,1191442043737137687194,2273341379528430801598,4258245703230480646076,7838220841433525160271,14191726243241678993231,25296577278633779260289,44426888982114018646634,76932574483352023028713
"[10,2,2,2,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,6,1002,38119,866767,14228252,180445158,1832888284,15326565658,108078712857,656623339471,3501691593971,16656498394294,71640576900021,281861471945035,1024449961124542,3468737893433557,11020515132659136,33057587910274240,94125294594798564,255582887107000550,664534374173203771,1660422950329574516,3999528315348421484,9313338391255551950,21018084130043037654,46072504500118376429,98292854991312658449,204464362796744532983,415372301123781564982,825323545637374215005,1606061151261494993745,3064671788977692354493,5740863553074843106513,10567897178791863876480,19135004335509693125114,34109495900035970174733,59907032417905593122225,103743024278960464100980
"[10,2,2,2,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,22,1532,43112,820481,12123916,145031927,1428651763,11763565417,82343749071,498655971400,2656248010931,12633783283417,54360474453490,214006447253761,778355940264125,2637260424856681,8384170856774406,25164163387535061,71687851953361981,194748589303191397,506571241948549877,1266198289896168047,3050937586302929680,7106492097339647390,16041838495517986341,35172358892938645068,75053230381829215846,156150470697441736829,317272987878168024579,630496065440943994638,1227089901895619835216,2341794534903075583377,4387201458956959820412,8076813789777010868122,14625721608279782355806,26073409884967057446295,45796370511574235097613,79312226944444286075036
"[10,2,2,2,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,33,1463,32634,527535,6955492,77426035,732011617,5898333507,40850434255,246207232514,1309262420267,6226081721005,26804395554067,105615640453496,384505280113002,1304058658796583,4149535686634059,12464740223287343,35536228244319437,96602813917864677,251427579475986712,628783940935553650,1515772639222393573,3532106986427906775,7976093076168142698,17493523520976468125,37339575906749777772,77705885922765237261,157921943775002874582,313891922083395882603,611017158225657255256,1166264536148973288426,2185244645282699375226,4023560522448264688506,7286856964093640815876,12991771258816955378974,22821534687660720478675,39526951223693953835078
"[10,2,2,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,23,850,16061,225558,2659991,27352675,246079699,1928456272,13167974249,78851545422,418315686514,1988687733586,8567779027370,33797891848483,123203690637736,418384386316459,1332912084009043,4008328062681499,11438803573802022,31122964303599399,81066647452198570,202875415207322713,489356927237590196,1140928594179030591,2577631661564089396,5655753664537731229,12076599045974000634,25140470498602275028,51108201217467013158,101611591927896064555,197842496867368360626,377707693699988328076,707851555205337951490,1303550618710800637927,2361161310245410853036,4210323506776038684415,7396869968564671345462,12812900779009125368768
"[10,2,1,1,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,8,277,4655,58126,617953,5855219,49797803,377318145,2530627410,15026958339,79469726736,377644578476,1628455897731,6433323942009,23490184993620,79900606643045,254943432778684,767738673004644,2193688842902028,5975280492251632,15579230477188948,39021953677236568,94196847909386439,219766213567194127,496799277922061742,1090632583774760829,2329885840881818101,4852246962163015907,9867791944038708803,19625260312894448959,38222542964185976859,72991205698656099713,136823310873817127875,252022238462589242046,456584047433012352165,814304312086099582984,1430831263868581104011,2478853291845581553379
"[10,1,1,1,1,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,610,6878,66280,579194,4637977,33798405,221792710,1303285834,6865216737,32607156054,140769231821,557159308698,2038627153805,6948605262784,22214047457269,67012366105083,191774999259245,523084822297655,1365478698683022,3423805705017726,8272589575789045,19316216996365695,43697404287192998,95990852157527169,205178001365827198,427519710493415800,869813772111618922,1730588640594117557,3371722916395578300,6440814012067010618,12076866046094866587,22250750193475193519,40320632259080233617,71925778396976793370,126406386387479827272,219031537428483048499
"[9,9,5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4732,161335,3174093,43151435,444893779,3682941448,25454781769,151151423486,788248465935,3673458204407,15515413200680,60084485011101,215412941035677,720830807659649,2267052703634082,6741299366346755,19050899738074749,51395230201610711,132882687028654429,330408129935945152,792492310316887171,1838564690805895123,4135738174304069210,9039799068593001461,19237234994465144124,39927170955149702194,80952082308845037806,160564360258906059509,311963605588761795438,594449200375374402997,1112141151119548036671,2044929977669756724620,3698913976564612857672,6587485482609995769374,11560026394226327697539,20003694792600629970942
"[9,9,4,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,24238,775028,14885194,200367481,2057584600,17011279407,117570219074,698510078811,3645499353341,17003229382763,71874641204494,278552973969844,999357242069701,3346221551371123,10529924102462100,31327204103779781,88569203271230350,239032462155103367,618229240955681801,1537664607730322580,3689101155403679147,8560631904014389602,19260600371952922356,42107104680404717605,89621103815849140579,186037088036724853253,377238185425617226328,748320260188349260949,1454078395698030819290,2771019677197453149284,5184677091381128883688,9533966423121901036176,17246446355655408883131,30716552403210070741855,53905928863822641279850,93284741112864171451895
"[9,9,3,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,496,34356,1065537,20241891,271406686,2783853011,23015455989,159140857820,946098288046,4941022159871,23060918761749,97540210596805,378226557363414,1357608231652999,4547709845927651,14316105423847270,42605205037424664,120489000864443061,325259316423834167,841428458830511698,2093208383217949982,5022784747845088356,11657201324032733257,26231023812691133460,57352350846938915700,122081789489419871744,253442795389587060456,513962671999271714814,1019612580016967250463,1981362577489980943139,3776080986996639611638,7065557092766847233664,12993288204751750278137,23505194134933740663606,41865250416402141426624,73473917200591973046401,127151448806489325185424
