perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[1]",0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"[2]",0,1,2,3,6,9,10,11,14,17,18,19,22,25,26,27,30,33,34,35,38,41,42,43,46,49,50,51,54,57,58,59,62,65,66,67,70,73,74,75,78,81,82,83,86,89,90,91,94,97,98
"[1,1]",0,0,2,5,6,7,10,13,14,15,18,21,22,23,26,29,30,31,34,37,38,39,42,45,46,47,50,53,54,55,58,61,62,63,66,69,70,71,74,77,78,79,82,85,86,87,90,93,94,95,98
"[3]",0,0,1,4,8,14,24,35,46,61,79,97,117,140,165,192,220,250,284,319,354,393,435,477,521,568,617,668,720,774,832,891,950,1013,1079,1145,1213,1284,1357,1432,1508,1586,1668,1751,1834,1921,2011,2101,2193,2288,2385
"[2,1]",0,0,2,7,16,30,47,68,94,123,156,194,235,280,330,383,440,502,567,636,710,787,868,954,1043,1136,1234,1335,1440,1550,1663,1780,1902,2027,2156,2290,2427,2568,2714,2863,3016,3174,3335,3500,3670,3843,4020,4202,4387,4576,4770
"[1,1,1]",0,0,0,3,9,15,23,34,47,62,78,96,118,141,164,191,221,251,283,318,355,394,434,476,522,569,616,667,721,775,831,890,951,1014,1078,1144,1214,1285,1356,1431,1509,1587,1667,1750,1835,1922,2010,2100,2194,2289,2384
"[4]",0,0,0,1,6,17,33,57,96,149,212,291,395,523,667,832,1034,1269,1523,1807,2139,2512,2911,3346,3839,4383,4957,5574,6261,7008,7790,8622,9535,10516,11537,12616,13786,15034,16328,17685,19145,20692,22288,23956,25738,27615,29548,31559,33694,35934,38234
"[3,1]",0,0,1,6,19,46,97,178,288,435,634,887,1190,1553,1994,2515,3107,3782,4563,5448,6425,7508,8723,10068,11526,13113,14860,16761,18796,20983,23356,25909,28617,31500,34597,37898,41375,45050,48965,53110,57452,62015,66846,71931,77234,82781,88622,94743,101103,107730,114679
"[2,2]",0,0,0,2,12,34,66,113,190,298,425,581,790,1047,1333,1663,2067,2537,3047,3614,4277,5025,5822,6690,7677,8766,9914,11148,12522,14016,15580,17243,19068,21032,23075,25231,27572,30069,32655,35369,38289,41383,44577,47912,51475,55231,59096,63116,67387,71868,76468
"[2,1,1]",0,0,0,4,17,45,97,177,287,435,633,885,1188,1552,1994,2514,3106,3782,4562,5446,6423,7507,8723,10067,11525,13113,14859,16759,18794,20982,23356,25908,28616,31500,34596,37896,41373,45049,48965,53109,57451,62015,66845,71929,77232,82780,88622,94742,101102,107730,114678
"[1,1,1,1]",0,0,0,0,5,17,32,55,94,148,212,290,394,523,666,830,1032,1268,1523,1806,2138,2512,2910,3344,3837,4382,4957,5573,6260,7008,7789,8620,9533,10515,11537,12615,13785,15034,16327,17683,19143,20691,22288,23955,25737,27615,29547,31557,33692,35933,38234
"[5]",0,0,0,0,2,10,29,67,132,236,397,626,936,1354,1905,2605,3476,4554,5872,7452,9324,11533,14123,17122,20563,24506,29003,34083,39791,46196,53358,61315,70116,79840,90558,102312,115157,129185,144476,161075,179047,198494,219502,242124,266431,292535,320534,350485,382464,416596,452988
"[4,1]",0,0,0,2,12,43,118,267,529,951,1584,2492,3748,5427,7615,10408,13908,18225,23477,29790,37299,46147,56482,68463,82259,98041,115991,136302,159171,184804,213415,245226,280469,319382,362209,409205,460635,516767,577878,644257,716197,794000,877977,968445,1065732,1170172,1282105,1401883,1529866,1666418,1811912
"[3,2]",0,0,0,2,14,53,147,334,660,1184,1978,3116,4681,6778,9518,13010,17380,22774,29343,37237,46618,57674,70600,85580,102815,122539,144986,170377,198954,230992,266765,306533,350576,399211,452756,511507,575781,645941,722344,805321,895232,992481,1097465,1210556,1332150,1462693,1602626,1752355,1912315,2082998,2264884
"[3,1,1]",0,0,0,2,16,62,171,393,789,1420,2364,3725,5613,8132,11405,15591,20850,27327,35192,44657,55933,69207,84694,102661,123368,147045,173953,204412,238733,277187,320082,367792,420677,479051,543267,613754,690922,775126,866766,966324,1074261,1190974,1316908,1452600,1598560,1755228,1923095,2102751,2294757,2499594,2717800
"[2,2,1]",0,0,0,1,10,47,142,328,651,1176,1971,3106,4669,6765,9504,12996,17364,22757,29328,37220,46597,57653,70579,85557,102791,122515,144962,170352,198926,230962,266736,306503,350543,399179,452725,511473,575745,645904,722306,805283,895192,992440,1097426,1210515,1332105,1462648,1602581,1752308,1912267,2082950,2264836
"[2,1,1,1]",0,0,0,0,7,36,109,257,517,935,1567,2475,3727,5403,7591,10382,13879,18194,23444,29756,37263,46107,56441,68422,82214,97993,115943,136252,159118,184749,213358,245168,280409,319318,362144,409140,460566,516695,577806,644183,716120,793921,877896,968363,1065648,1170084,1282016,1401794,1529773,1666322,1811816
"[1,1,1,1,1]",0,0,0,0,0,7,28,64,125,229,390,617,926,1344,1895,2594,3462,4538,5857,7436,9305,11515,14106,17102,20541,24483,28979,34059,39765,46169,53333,61288,70085,79809,90527,102279,115123,129151,144442,161040,179009,198454,219463,242084,266388,292493,320493,350441,382418,416549,452940
"[6]",0,0,0,0,0,3,16,49,125,278,539,962,1639,2654,4090,6090,8839,12508,17269,23366,31124,40844,52788,67346,85039,106301,131519,161282,196314,237223,284568,339136,401907,473719,555288,647644,752092,869685,1001334,1148383,1312449,1494848,1696749,1919784,2165943,2436871,2733959,3059186,3414993,3803323,4225835
"[5,1]",0,0,0,0,3,22,89,265,647,1383,2694,4861,8219,13219,20441,30533,44234,62459,86300,116947,155690,204056,263837,336918,425278,531240,657458,806649,981659,1185764,1422623,1695976,2009683,2368107,2776116,3238622,3760619,4347761,5006283,5742392,6562418,7473455,8483234,9599468,10829958,12183362,13669131,15296625,17075230,19015388,21128420
"[4,2]",0,0,0,0,7,45,164,471,1162,2509,4859,8714,14771,23832,36805,54883,79571,112483,155356,210366,280140,367385,474931,606233,765346,956354,1183447,1451651,1766763,2134524,2560750,3052333,3617118,4262787,4997048,5828953,6768708,7826216,9011343,10335595,11811847,13452506,15269862,17278169,19493283,21930397,24604490,27532858,30734646,34228115,38031201
"[4,1,1]",0,0,0,1,8,44,175,523,1280,2749,5365,9680,16386,26384,40810,60974,88362,124796,172463,233730,311184,407909,527457,673571,850264,1062182,1314580,1612917,1962908,2371090,2844783,3391443,4018800,4735635,5551629,6476560,7520510,8694786,10011774,11483926,13123934,14945966,16965487,19197886,21658784,24365575,27337081,30591959,34149108,38029412,42255400
"[3,3]",0,0,0,1,4,20,89,271,648,1374,2688,4865,8217,13192,20414,30542,44232,62397,86251,116960,155670,203956,263762,336924,425253,531099,657332,806657,981626,1185549,1422453,1695993,2009622,2367829,2775900,3238621,3760543,4347413,5005986,5742396,6562334,7473000,8482871,9599480,10829828,12182813,13668702,15296614,17075083,19014746,21127880
"[3,2,1]",0,0,0,0,9,66,269,815,2028,4382,8550,15430,26160,42177,65240,97439,141264,199623,275846,373763,497719,652573,843783,1077419,1360156,1699368,2103139,2580248,3140273,3793599,4551397,5425738,6429596,7576822,8882267,10361782,12032187,13911401,16018440,18373380,20997496,23913258,27144286,30715499,34653108,38984565,43738722,48945819,54637428,60846621,67607955
"[3,1,1,1]",0,0,0,0,5,39,161,490,1240,2716,5308,9572,16272,26299,40684,60752,88137,124638,172243,233352,310810,407655,527114,672994,849704,1061808,1314088,1612102,1962125,2370575,2844117,3390348,4017756,4734956,5550760,6475142,7519168,8693919,10010676,11482146,13122257,14944890,16964135,19195702,21656734,24364267,27335446,30589328,34146648,38027848,42253456
"[2,2,2]",0,0,0,0,2,18,78,241,618,1364,2659,4779,8138,13176,20359,30366,44077,62370,86161,116668,155419,203918,263630,336483,424877,531046,657150,806039,981106,1185482,1422212,1695166,2008930,2367742,2775593,3237558,3759658,4347308,5005605,5741063,6561229,7472872,8482407,9597851,10828483,12182662,13668148,15294656,17073469,19014568,21127228
"[2,2,1,1]",0,0,0,0,2,25,133,440,1108,2404,4741,8621,14632,23583,36544,54691,79303,112025,154896,210044,279707,366659,474216,605744,764704,955295,1182421,1450964,1765876,2133073,2559357,3051411,3615942,4260879,4995232,5827765,6767207,7823792,9009048,10334104,11809977,13449501,15267032,17276344,19491008,21926752,24601069,27530662,30731922,34223765,38027133
"[2,1,1,1,1]",0,0,0,0,0,12,68,229,599,1324,2608,4735,8072,13065,20244,30266,43940,62168,85946,116483,155195,203583,263282,336209,424536,530545,656656,805638,980614,1184799,1421528,1694613,2008289,2366833,2774684,3236853,3758822,4346132,5004468,5740166,6560170,7471429,8480990,9596729,10827205,12180894,13666414,15293325,17071926,19012438,21125184
"[1,1,1,1,1,1]",0,0,0,0,0,0,11,47,117,253,510,942,1604,2584,4019,6044,8770,12377,17137,23281,31003,40626,52576,67212,84855,105979,131209,161085,196052,236775,284141,338869,401557,473125,554725,647291,751635,868922,1000617,1147936,1311878,1493900,1695859,1919230,2165240,2435712,2732877,3058515,3414147,3801936,4224543
"[7]",0,0,0,0,0,0,4,24,83,227,537,1133,2187,3958,6803,11167,17631,26965,40121,58230,82664,115119,157606,212413,282210,370184,479981,615646,781802,983798,1227615,1519808,1867709,2279630,2764748,3332976,3995244,4763783,5651915,6673893,7845294,9183317,10706514,12434624,14389006,16593007,19071659,21851413,24960678,28430304,32293131
"[6,1]",0,0,0,0,0,5,39,169,540,1425,3290,6863,13220,23882,40918,67080,105934,161988,240861,349462,496159,690966,945756,1274485,1693420,2221365,2879916,3693750,4690890,5902972,7365561,9118485,11206147,13677839,16588106,19997128,23971082,28582503,33910687,40042136,47070968,55099308,64237756,74605880,86332658,99556932,114427919,131105748,149761965,170580019,193755822
"[5,2]",0,0,0,0,1,17,105,417,1289,3363,7727,16074,30901,55763,95523,156581,247208,377965,562014,815413,1157631,1612109,2206615,2973630,3951026,5182776,6719381,8618290,10944755,13772759,17185439,21275528,26146467,31913499,38704071,46658350,55930548,66690187,79122533,93429111,109829248,128561606,149884552,174076649,201438533,232294635,266993462,305908150,349438602,398013404,452090097
"[5,1,1]",0,0,0,0,2,19,108,435,1364,3574,8217,17123,32996,59609,102121,167449,264527,404574,601595,872932,1239562,1726418,2363108,3184656,4231814,5551424,7197372,9231543,11724120,14753958,18409818,22791548,28010328,34189063,41463908,49985687,59920075,71447974,84767366,100094993,117666436,137736466,160581251,186500309,215816459,248876130,286051952,327744997,374384574,426428485,484366017
"[4,3]",0,0,0,0,2,19,106,419,1295,3370,7729,16068,30894,55757,95495,156523,247153,377911,561905,815251,1157473,1611934,2206350,2973286,3950676,5182406,6718881,8617657,10944118,13772094,17184571,21274484,26145425,31912402,38702711,46656765,55928944,66688515,79120530,93426801,109826923,128559205,149881714,174073438,201435312,232291292,266989591,305903839,349434256,398008921,452084994
"[4,2,1]",0,0,0,0,3,41,249,1003,3143,8272,19099,39849,76782,138781,237956,390323,616621,943199,1402879,2035882,2890967,4026628,5512176,7428939,9871727,12950310,16790761,21536903,27352080,34420980,42951193,53174877,65350905,79766996,96741462,116625150,139803929,166701118,197779474,233543359,274541557,321370069,374674292,435151377,503553460,580690787,667434032,764716933,873539893,994973394,1130160556
"[4,1,1,1]",0,0,0,0,2,23,135,551,1752,4648,10786,22584,43612,78941,135492,222417,351569,537994,800436,1161899,1650249,2298875,3147387,4242288,5637743,7396453,9590456,12301959,15624320,19663030,24536680,30377999,37334933,45571806,55270505,66631592,79875563,95244244,113002044,133437240,156863471,183621207,214079180,248635900,287721208,331797937,381363586,436951872,499134476,568522963,645770489
"[3,3,1]",0,0,0,0,2,23,140,585,1871,4942,11406,23830,45994,83177,142610,233973,369759,565680,841360,1221061,1734125,2415481,3306609,4456511,5922201,7769294,10073278,12920738,16409867,20651133,25768869,31902774,39208423,47857980,58042149,69971966,83879271,100017462,118663831,140121659,164720625,192817586,224799322,261084953,302126263,348408480,400453462,458822456,524116299,596976189,678087342
"[3,2,2]",0,0,0,0,1,19,132,565,1820,4859,11311,23704,45781,82883,142296,233601,369208,564971,840621,1220228,1732997,2414098,3305183,4454949,5920193,7766905,10070831,12918104,16406611,20647351,25765013,31898671,39203487,47852346,58036421,69965924,83872160,100009459,118655715,140113154,164710779,192806627,224788227,261073386,302113059,348393922,400438743,458807174,524099050,596957316,678068281
"[3,2,1,1]",0,0,0,0,1,28,207,911,2981,8010,18691,39257,75981,137716,236544,388512,614382,940452,1399501,2031807,2886175,4021011,5505558,7421242,9862943,12940301,16779295,21523895,27337545,34404748,42932967,53154563,65328544,79742385,96714232,116595202,139771343,166665654,197740682,233501138,274496027,321320953,374621056,435093918,503491951,580624911,667363158,764640958,873459046,994887316,1130068516
"[3,1,1,1,1]",0,0,0,0,0,9,80,368,1224,3340,7883,16638,32268,58610,100872,165865,262442,401956,598512,869259,1235030,1720999,2356943,3177573,4223425,5541711,7186566,9219419,11710145,14738129,18392482,22772423,27988717,34164984,41437844,49957290,59888458,71413184,84730045,100054723,117622124,137688191,160529834,186445256,215756442,248811268,285983271,327671920,374305522,426343623,484276593
"[2,2,2,1]",0,0,0,0,0,7,68,335,1145,3129,7367,15554,30192,54827,94291,154992,245243,375565,559060,811845,1153439,1607199,2200835,2966907,3943349,5174042,6709386,8606935,10932070,13758617,17169553,21257809,26126977,31892059,38680348,46632255,55902155,66659311,79088768,93392333,109789601,128518876,149838219,174026618,201385005,232237329,266931797,305842034,349368259,397938548,452010055
"[2,2,1,1,1]",0,0,0,0,0,5,58,313,1113,3077,7267,15400,29998,54562,93904,154489,244642,374820,558101,810666,1152078,1605606,2198889,2964610,3940783,5171122,6705944,8602996,10927734,13753774,17164004,21251571,26120191,31884617,38671968,46622960,55892162,66648462,79076712,93379136,109775512,128503706,149821573,174008548,201365819,232216842,266909503,305818000,349342903,397911621,451980956
"[2,1,1,1,1,1]",0,0,0,0,0,0,19,122,451,1275,3051,6503,12707,23178,39982,65869,104400,160079,238518,346621,492756,686932,941016,1268964,1687040,2214041,2871557,3684260,4680172,5890926,7352081,9103463,11189472,13659395,16567770,19974772,23946578,28555717,33881481,40010372,47036502,55061992,64197435,74562393,86285846,99506630,114373956,131047953,149700163,170514030,193685459
"[1,1,1,1,1,1,1]",0,0,0,0,0,0,0,15,73,207,490,1056,2088,3823,6596,10886,17303,26566,39587,57561,81907,114237,156503,211095,280754,368540,478010,613360,779315,981044,1224407,1516168,1863798,2275363,2759880,3327539,3989447,4757523,5644886,6666139,7837087,9174532,10696772,12423985,14377805,16581094,19058579,21837243,24945829,28414600,32276030
"[8]",0,0,0,0,0,0,0,5,35,135,396,994,2245,4651,8943,16228,28156,46936,75458,117672,178828,265472,385691,549769,770605,1063616,1447076,1943267,2579090,3385723,4399147,5661970,7224205,9142593,11481394,14315015,17728991,21818898,26691339,32467638,39285151,47295423,56665498,67583034,80257744,94918728,111816222,131228204,153462153,178851340,207756897
"[7,1]",0,0,0,0,0,0,8,66,302,1033,2929,7234,16074,32901,63061,114390,197966,329221,529125,825283,1253415,1859382,2701211,3850889,5396710,7446578,10131152,13606358,18056859,23701034,30795401,39637937,50572939,63998023,80370040,100209309,124106057,152729812,186837125,227276677,274997469,331061202,396651917,473081914,561802116,664417745,782700068,918593282,1074227093,1251936220,1454274613
"[6,2]",0,0,0,0,0,3,36,221,939,3104,8587,20923,46289,94584,180845,327401,566335,941776,1512959,2358731,3582103,5314123,7719218,11003005,15419625,21277422,28947157,38874295,51589750,67717410,87985955,113246845,144489002,182848277,229623550,286301651,354576671,436361272,533807655,649340947,785683733,945868889,1133266235,1351625933,1605108682,1898299888,2236242718,2624493020,3069155875,3576900690,4155001239
"[6,1,1]",0,0,0,0,0,3,38,234,977,3209,8930,21873,48409,98889,189317,343164,593714,987259,1586607,2474559,3758329,5575490,8100010,11547767,16183744,22331706,30383417,40806532,54155236,71084721,92364227,118887547,151687839,191958015,241068260,300579339,372262234,458125702,560438905,681747553,824899155,993079015,1189838570,1419114443,1685259966,1993091004,2347920652,2755581056,3222462005,3755568035,4362560054
"[5,3]",0,0,0,0,0,5,59,340,1361,4385,12101,29487,65018,132501,253313,458770,793216,1318361,2118027,3302660,5015125,7438811,10805817,15404058,21586696,29785363,40522617,54422095,72222506,94797337,123172514,158539937,202276855,255973657,321457652,400810066,496391801,610881009,747303727,909054505,1099929528,1324175606,1586528592,1892237666,2247106640,2657556317,3130671586,3674229079,4296747721,5007566496,5816900862
"[5,2,1]",0,0,0,0,0,12,127,731,3005,9834,27257,66604,147407,301214,576510,1044802,1807956,3007034,4832694,7537227,11448469,16985647,24677260,35181235,49307384,68042259,92576697,124336059,165013216,216604620,281449467,362271987,462227199,584950129,734608552,915959601,1134410201,1396081393,1707876940,2077556152,2513810952,3026347611,3625973106,4324686099,5135772964,6073908810,7155263516,8397613222,9820457175,11445139955,13294979574
"[5,1,1,1]",0,0,0,0,1,9,68,384,1600,5282,14700,36022,79963,163784,313857,569221,985772,1640658,2637773,4115026,6252143,9278370,13482034,19222854,26944527,37186590,50599039,67961230,90200466,118408549,153862665,198052558,252706006,319810819,401643222,500804707,620255675,763343491,933839262,1135986295,1374543036,1654817421,1982713380,2364792768,2808328467,3321345561,3912678825,4592049782,5370131158,6258595344,7270183741
"[4,4]",0,0,0,0,0,5,33,164,679,2226,6078,14701,32483,66357,126730,229213,396453,659367,1059106,1650811,2507055,3719617,5402901,7700791,10792120,14892732,20260930,27208533,36108717,47398209,61585102,79265370,101133751,127985335,160726221,200397240,248187984,305437176,373646897,454514878,549952160,662081558,793255757,946100070,1123534192,1328767609,1565322119,1837087186,2148346008,2503766609,2908429631
"[4,3,1]",0,0,0,0,1,14,135,788,3256,10683,29685,72642,160865,328855,629686,1141539,1975724,3286515,5282567,8239804,12516530,18571234,26982305,38469317,53917445,74405747,101237346,135971107,180457722,236880844,307800001,396194727,505514385,639734809,803416225,1001761555,1240682411,1526873842,1867889344,2272215342,2749355560,3309926464,3965751661,4729954315,5617062161,6643126370,7825837579,9184637940,10740849004,12517816919,14541052142
"[4,2,2]",0,0,0,0,0,10,101,594,2521,8403,23461,57559,127874,262025,502159,910753,1577345,2625366,4220881,6584570,10004291,14846821,21573041,30758568,43113988,59502462,80963108,108743076,144327217,189462231,246190142,316894776,404342520,511713614,642647595,801307242,992432225,1221377862,1494174317,1817611493,2199307251,2647753627,3172391807,3783721562,4493385576,5314223121,6260362765,7347360016,8592299515,10013855857,11632405849
"[4,2,1,1]",0,0,0,0,0,12,152,939,3974,13250,37261,91896,204415,419071,804173,1460194,2529907,4211504,6773522,10570676,16062965,23839676,34645077,49404248,69254092,95581711,130063731,174704344,231881045,304401105,395557396,509180575,649702550,822234843,1032643732,1287618495,1594755437,1962662202,2401055068,2920844836,3534244493,4254903568,5098030352,6080497055,7220973945,8540098145,10060623578,11807546635,13808269933,16092809953,18693977437
"[4,1,1,1,1]",0,0,0,0,0,5,55,337,1469,4999,14175,35139,78550,161594,310641,564719,979581,1632276,2626740,4100834,6234087,9255624,13453804,19188330,26902652,37136076,50538702,67889928,90116647,118310387,153748550,197920878,252554654,319637397,401445542,500580644,620002541,763058132,933518862,1135628210,1374143817,1654373105,1982220518,2364248022,2807727581,3320683741,3911951793,4591253477,5369260514,6257644527,7269147613
"[3,3,2]",0,0,0,0,0,5,69,436,1853,6189,17433,43009,95600,195864,375788,682280,1181806,1966860,3163064,4935983,7499866,11129728,16173543,23063035,32327925,44615564,60709552,81545191,108230509,142075635,184619192,237648786,303230282,383749191,481946097,600942574,744280017,915975547,1120567780,1363148232,1649411228,1985726888,2379198488,2837699419,3369935484,3985537842,4695133200,5510386045,6444074949,7510208311,8724108586
"[3,3,1,1]",0,0,0,0,0,8,85,537,2391,8156,23003,56756,126605,260148,499430,906860,1572008,2618300,4211637,6572564,9989029,14827839,21549596,30729731,43079005,59460615,80913299,108683972,144257717,189381323,246096329,316786210,404217704,511571219,642485617,801123250,992224293,1221144251,1493912462,1817318332,2198980323,2647390750,3171989823,3783276650,4492894696,5313683636,6259770799,7346710927,8591589664,10013082040,11631563423
"[3,2,2,1]",0,0,0,0,0,5,90,637,2878,9906,28280,70311,157216,323391,621836,1130638,1960928,3266823,5256906,8206968,12475074,18519517,26918586,38391707,53823745,74293464,101103906,135813801,180273412,236666046,307551190,395908192,505185892,639359725,802989860,1001279050,1240138309,1526262165,1867204108,2271450425,2748504065,3308980901,3964704616,4728798193,5615788488,6641726032,7824301530,9182956982,10739012957,12515814797,14538873114
"[3,2,1,1,1]",0,0,0,0,0,3,70,537,2516,8815,25392,63455,142392,293633,565508,1029320,1786759,2978691,4795532,7489347,11387714,16909571,24583161,35066101,49167847,67874656,92377022,124099891,164735782,216280763,281073575,361838046,461728750,584380212,733959775,915224073,1133579463,1395146516,1706828464,2076383990,2512504488,3024895657,3624363808,4322907025,5133811049,6071750275,7152893974,8395017600,9817619620,11442043968,13291607936
"[3,1,1,1,1,1]",0,0,0,0,0,0,17,156,765,2744,8061,20394,46011,95172,183841,335417,583016,972785,1567499,2449871,3726856,5535815,8050704,11487313,16110271,22243062,30277473,40681072,54007569,70911793,92163057,118655081,151420427,191651558,240718794,300182845,371813949,457620315,559871317,681112641,824190903,992290757,1188963943,1418147093,1684192468,1991915171,2346628705,2754165271,3220913410,3753876777,4360716808
"[2,2,2,2]",0,0,0,0,0,1,12,100,521,1898,5490,13730,30961,64094,123498,224718,390362,651299,1048602,1637368,2490109,3698510,5376929,7669172,10753952,14847061,20206719,27144611,36033849,47311067,61484214,79149187,101000611,127833415,160553619,200201934,247967771,305189767,373369877,454205629,549607962,661699555,792832879,945633139,1123019880,1328202359,1564702264,1836408893,2147605188,2502959056,2907550969
"[2,2,2,1,1]",0,0,0,0,0,0,20,197,1010,3680,10815,27314,61601,127399,245951,448449,779150,1299659,2093606,3271238,4975339,7389188,10744589,15329206,21496137,29676856,40393551,54269563,72043517,94588747,122930735,158260972,201956657,255608045,321041852,400338837,495859915,610283058,746633613,908305610,1099095231,1323249129,1585502377,1891103492,2245856357,2656181669,3129163342,3672577273,4294942555,5005598014,5814758014
"[2,2,1,1,1,1]",0,0,0,0,0,0,9,114,666,2544,7545,19125,43409,90216,174454,318333,553855,925050,1490967,2330256,3545845,5268675,7662885,10933845,15335637,21176455,28826695,38731527,51421781,67521194,87758008,112983280,144185886,182501550,229228566,285853297,354069846,435790699,533167372,648624477,784884602,944980472,1132281133,1350536086,1603906099,1896976475,2234789413,2622900030,3067413580,3574999320,4152929935
"[2,1,1,1,1,1,1]",0,0,0,0,0,0,0,30,207,829,2537,6535,14914,31097,60368,110494,192530,321863,519356,812532,1237071,1838763,2675511,3819183,5358024,7399888,10075257,13539882,17978409,23609148,30688369,39513878,50429959,63834132,80182987,99996616,123865212,152458251,186531950,226934692,274615521,330636074,396179961,472559191,561224730,663781700,782000928,917826257,1073387430,1251019139,1453274801
"[1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,22,114,348,891,2069,4373,8510,15577,27226,45669,73764,115417,175902,261783,381067,543993,763518,1055057,1436788,1930949,2564487,3368602,4379170,5638697,7197284,9111736,11446127,14274753,17683298,21767366,26633352,32402480,39212237,47214238,56575307,67482915,80146969,94796695,111681997,131080659,153300440,178674699,207564203
"[9]",0,0,0,0,0,0,0,0,7,51,209,661,1782,4269,9349,19046,36521,66625,116544,196461,320602,508607,786852,1190041,1763426,2565381,3670082,5170489,7182189,9848112,13343105,17878662,23709507,31141218,40537060,52325622,67011012,85183911,107532017,134851355,168060611,208217397,256533110,314388252,383352940,465209439,561971762,675907023,809563261,965798821,1147808915
"[8,1]",0,0,0,0,0,0,0,12,105,516,1888,5694,14928,35192,76273,154326,294864,536669,936808,1577053,2571769,4077499,6304699,9531709,14121164,20539339,29378632,41383510,57480348,78811266,106772551,143058304,189709144,249166491,324333488,418642502,536129427,681515811,860299096,1078851476,1344528066,1665784345,2052303997,2515138282,3066856200,3721706311,4495792196,5407261106,6476505971,7726382488,9182441598
"[7,2]",0,0,0,0,0,0,5,68,441,1953,6799,19961,51563,120542,259959,524338,999710,1816993,3168977,5331533,8690362,13773999,21292992,32186382,47677671,69340799,99175510,139693926,194021703,266013902,360383906,482848285,640292684,840957934,1094643297,1412931306,1809441369,2300109995,2903492568,3641093219,4537732658,5621949855,6926429966,8488467727,10350479511,12560557346,15173053978,18249211699,21857852175,26076117076,30990244735
"[7,1,1]",0,0,0,0,0,0,6,72,457,2014,6995,20554,53206,124535,268704,542281,1034581,1881161,3281625,5522205,9003163,14272124,22065247,33356761,49416123,71874554,102804577,144812286,201140235,275784463,373630900,500609476,663862703,871933825,1134981888,1465021043,1876178091,2384975474,3010651210,3775510055,4705296224,5829599456,7182309251,8802107529,10732987483,13024813941,15733944218,18923896961,22666050907,27040393444,32136345723
"[6,3]",0,0,0,0,0,0,15,151,870,3665,12445,36085,92635,215742,464103,934702,1780585,3234379,5638619,9483840,15455985,24494409,37861731,57227610,84767776,123279625,176317193,248347201,344927275,472909515,640671744,858377829,1138270318,1494997690,1945978268,2511804941,3216692495,4088969284,5161618829,6472873786,8066863075,9994317909,12313340458,15090236504,18400417287,22329373796,26973726218,32442355227,38857616988,46356643682,55092738718
"[6,2,1]",0,0,0,0,0,1,32,317,1845,7829,26764,77957,200709,468519,1009643,2035842,3881577,7055499,12306431,20706859,33756682,53510058,82728517,125063571,185273195,269476073,385446107,542952334,754150452,1034028725,1400912165,1877032175,2489167243,3269359073,4255709125,5493261774,7034982903,8942839424,11288981728,14157039002,17643539249,21859455737,26931884092,33005863483,40246351366,48840355945,58999231998,70961150625,84993757985,101397028576,120506312080
"[6,1,1,1]",0,0,0,0,0,2,22,171,966,4106,14069,41087,106071,248108,535456,1080943,2062743,3751873,6547505,11021325,17972882,28497383,44067177,66629226,98720665,143604068,205424767,289392415,401989179,551207687,746820516,1000683478,1327077184,1743089370,2269039450,2928949804,3751067727,4768440286,6019545797,7548985428,9408238871,11656489210,14361519002,17600680688,21461949083,26045059290,31462731038,37841986622,45325568535,54073459262,64264508297
"[5,4]",0,0,0,0,0,1,17,145,795,3273,11014,31791,81366,189198,406688,818626,1558877,2831046,4934849,8299439,13524903,21433127,33129088,50073612,74169968,107866075,154272112,217295851,301799707,413779719,560566679,751053369,995951322,1308078146,1702675688,2197761915,2814523064,3577747378,4516296799,5663622884,7058336727,8744829737,10773942252,13203689810,16100055205,19537844165,23601601558,28386595545,33999883767,40561459507,48205466518
"[5,3,1]",0,0,0,0,0,3,57,512,2903,12176,41390,120339,309687,722641,1556823,3139014,5985249,10879763,18977371,31932886,52060494,82528482,127596296,192897993,285774909,415665317,594561143,837535639,1163343935,1595107479,2161096237,2895611539,3839969849,5043602447,6565289749,8474531135,10853047792,13796438851,17416015297,21840809335,27219752949,33724052265,41549789352,50920744549,62091427873,75350354168,91023601908,109478642655,131128423266,156435744915,185917988854
"[5,2,2]",0,0,0,0,0,1,39,363,2074,8807,30203,88211,227602,532185,1148326,2317734,4422135,8042465,14034318,23622559,38520232,61074632,94441381,142791989,211562482,307745127,440223854,620160963,861445692,1181206919,1600387542,2144390865,2843816273,3735283155,4862335947,6276447904,8038145760,10218249192,12899215879,16176614580,20160754525,24978463149,30774994392,37716096400,45990280433,55811273333,67420625372,81090517396,97126817396,115872357171,137710396242
